top - 20:54:04 up  3:56,  1 user,  load average: 0,49, 0,52, 0,56
Tasks: 225 total,   1 running, 223 sleeping,   0 stopped,   1 zombie
%Cpu(s):  0,0 us,  8,8 sy,  0,0 ni, 91,2 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :   7754,2 total,   2386,2 free,   2082,3 used,   3285,7 buff/cache
MiB Swap:   1560,0 total,   1560,0 free,      0,0 used.   4722,1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    407 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-crtc1
    408 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 card0-crtc2
    486 systemd+  20   0   14824   6800   6016 S   0,0   0,1   0:13.77 systemd-oomd
    496 systemd+  20   0   25792  14156   9624 S   0,0   0,2   0:02.37 systemd-resolve
    498 systemd+  20   0   89376   7580   6660 S   0,0   0,1   0:00.17 systemd-timesyn
    577 root      20   0  242512   7844   6920 S   0,0   0,1   0:00.37 accounts-daemon
    578 root      20   0    2812   2064   1876 S   0,0   0,0   0:02.50 acpid
    580 avahi     20   0    7624   4124   3704 S   0,0   0,1   0:00.60 avahi-daemon
    581 root      20   0   10592   5472   4976 S   0,0   0,1   0:00.14 bluetoothd
    582 root      20   0   12024   2968   2720 S   0,0   0,0   0:00.02 cron
    585 message+  20   0   11004   6660   4156 S   0,0   0,1   0:03.51 dbus-daemon
    586 root      20   0  263696  19456  16104 S   0,0   0,2   0:05.62 NetworkManager
    596 root      20   0   82760   3968   3584 S   0,0   0,0   0:00.80 irqbalance
    599 root      20   0   43592  21244  11836 S   0,0   0,3   0:00.17 networkd-dispat
    603 root      20   0  236944  10632   7236 S   0,0   0,1   0:03.60 polkitd
    605 root      20   0  242584   7748   6984 S   0,0   0,1   0:00.05 power-profiles-
    607 syslog    20   0  222400   6288   4480 S   0,0   0,1   0:00.23 rsyslogd
    617 root      20   0 1393624  34032  20664 S   0,0   0,4   0:20.07 snapd
    621 root      20   0  238904   6776   6256 S   0,0   0,1   0:00.04 switcheroo-cont
    638 root      20   0   48216   8232   7012 S   0,0   0,1   0:00.57 systemd-logind
    641 root      20   0  131120   9504   8640 S   0,0   0,1   0:03.27 thermald
    644 root      20   0  393256  14228  10704 S   0,0   0,2   0:01.76 udisksd
    646 root      20   0   17784  11776   9704 S   0,0   0,1   0:00.48 wpa_supplicant
    665 avahi     20   0    7440   1464   1124 S   0,0   0,0   0:00.00 avahi-daemon
    686 root      20   0  318060  12672  10616 S   0,0   0,2   0:00.40 ModemManager
    690 root      20   0   75020  13564  11756 S   0,0   0,2   0:00.04 cupsd
    725 root      20   0  120672  24240  15448 S   0,0   0,3   0:00.13 unattended-upgr
    734 root      20   0  243864   9168   8004 S   0,0   0,1   0:00.07 gdm3
    781 rtkit     21   1  154000   3404   3096 S   0,0   0,0   0:00.16 rtkit-daemon
    895 root      20   0  172620  11880  10316 S   0,0   0,1   0:00.09 cups-browsed
    900 kernoops  20   0   13084   2244   1792 S   0,0   0,0   0:00.00 kerneloops
    914 kernoops  20   0   13084   2344   1860 S   0,0   0,0   0:00.00 kerneloops
    999 root      20   0  244888   9256   7784 S   0,0   0,1   0:00.45 upowerd
   1056 root      20   0  449088  55780  19124 S   0,0   0,7   0:17.99 packagekitd
   1213 colord    20   0  248000  13384   9688 S   0,0   0,2   0:00.29 colord
   1276 root      20   0  320716  11244   9384 S   0,0   0,1   0:00.16 gdm-session-wor
   1284 wojtek    20   0   18016  10796   8068 S   0,0   0,1   0:01.62 systemd
